"filename", "language", "JSON", "Solution File", "C#", "MSBuild", "Properties", "SQL", "comment", "blank", "total"
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\Profunion.deps.json", "JSON", 2437, 0, 0, 0, 0, 0, 0, 0, 2437
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\Profunion.runtimeconfig.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\appsettings.Development.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Павел\Desktop\ProfUnion\bin\Debug\net7.0\appsettings.json", "JSON", 19, 0, 0, 0, 0, 0, 1, 1, 21
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.AssemblyInfo.cs", "C#", 0, 0, 10, 0, 0, 0, 10, 5, 25
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 0, 1, 1, 18
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\Profunion.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 4, 0, 0, 0, 10, 5, 19
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets.build.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.build.Profunion.props", "MSBuild", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.buildMultiTargeting.Profunion.props", "MSBuild", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Debug\net7.0\staticwebassets\msbuild.buildTransitive.Profunion.props", "MSBuild", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.EntityFrameworkCore.targets", "MSBuild", 0, 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.dgspec.json", "JSON", 181, 0, 0, 0, 0, 0, 0, 0, 181
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.g.props", "MSBuild", 0, 0, 0, 26, 0, 0, 0, 0, 26
"c:\Users\Павел\Desktop\ProfUnion\obj\Profunion.csproj.nuget.g.targets", "MSBuild", 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\Павел\Desktop\ProfUnion\obj\project.assets.json", "JSON", 6871, 0, 0, 0, 0, 0, 0, 0, 6871
"Total", "-", 9615, 24, 3682, 117, 17, 97, 265, 905, 14722
